Total time: 2.401930s

p[0].x: -4.227	p[0].y: 7.640	p[0].z: -0.369
p[1766].x: -0.073	p[1766].y: 2.845	p[1766].z: 0.104
p[1766].vx: -1.184	p[1766].vy: 35.925	p[1766].vz: 0.635

p[1767].x: -5.041	p[1767].y: -3.653	p[1767].z: 0.910
p[1767].vx: -72.699	p[1767].vy: -54.214	p[1767].vz: 13.724

p[1768].x: 1.113	p[1768].y: -6.413	p[1768].z: 4.199
p[1768].vx: 15.334	p[1768].vy: -90.866	p[1768].vz: 59.840

p[1769].x: 3.071	p[1769].y: -1.085	p[1769].z: 5.099
p[1769].vx: 24.701	p[1769].vy: -13.922	p[1769].vz: 54.774

p[1770].x: 1.206	p[1770].y: -1.435	p[1770].z: -1.039
p[1770].vx: 26.510	p[1770].vy: -15.299	p[1770].vz: -22.657

p[1771].x: -2.533	p[1771].y: -2.203	p[1771].z: -1.955
p[1771].vx: -36.461	p[1771].vy: -38.898	p[1771].vz: -34.099

p[1772].x: -5.486	p[1772].y: 7.046	p[1772].z: -0.710
p[1772].vx: -78.140	p[1772].vy: 100.416	p[1772].vz: -11.067

p[1773].x: 7.131	p[1773].y: -4.166	p[1773].z: 3.930
p[1773].vx: 100.491	p[1773].vy: -59.648	p[1773].vz: 56.400

p[1774].x: 3.705	p[1774].y: 4.055	p[1774].z: 2.756
p[1774].vx: 52.312	p[1774].vy: 56.936	p[1774].vz: 35.925

p[1775].x: 1.920	p[1775].y: 1.413	p[1775].z: 2.120
p[1775].vx: 29.176	p[1775].vy: 26.639	p[1775].vz: 28.974

p[1776].x: -3.892	p[1776].y: -3.804	p[1776].z: 4.024
p[1776].vx: -54.941	p[1776].vy: -52.062	p[1776].vz: 57.725

p[1777].x: 6.065	p[1777].y: 3.421	p[1777].z: 0.631
p[1777].vx: 85.142	p[1777].vy: 45.746	p[1777].vz: 6.489

p[1778].x: 1.393	p[1778].y: 0.317	p[1778].z: 5.400
p[1778].vx: 19.134	p[1778].vy: 3.191	p[1778].vz: 74.607

p[1779].x: 0.229	p[1779].y: -7.140	p[1779].z: -0.476
p[1779].vx: 3.040	p[1779].vy: -100.819	p[1779].vz: -7.391

p[1780].x: -8.642	p[1780].y: 1.443	p[1780].z: -6.329
p[1780].vx: -122.611	p[1780].vy: 20.161	p[1780].vz: -91.442

p[1781].x: 1.095	p[1781].y: -8.355	p[1781].z: -0.553
p[1781].vx: 15.812	p[1781].vy: -116.979	p[1781].vz: -8.768

p[1782].x: 0.072	p[1782].y: -1.453	p[1782].z: 3.263
p[1782].vx: -4.557	p[1782].vy: -26.596	p[1782].vz: 52.945

p[1783].x: -3.762	p[1783].y: -6.264	p[1783].z: -2.290
p[1783].vx: -53.771	p[1783].vy: -87.394	p[1783].vz: -33.390

p[1784].x: 0.610	p[1784].y: -4.344	p[1784].z: -6.502
p[1784].vx: 10.476	p[1784].vy: -63.314	p[1784].vz: -93.991

p[1785].x: -0.724	p[1785].y: 0.592	p[1785].z: -0.339
p[1785].vx: -7.629	p[1785].vy: 5.930	p[1785].vz: -6.415

p[1786].x: -3.365	p[1786].y: 5.342	p[1786].z: -3.636
p[1786].vx: -38.590	p[1786].vy: 61.344	p[1786].vz: -37.313

p[1787].x: 4.627	p[1787].y: 3.826	p[1787].z: 0.276
p[1787].vx: 66.829	p[1787].vy: 54.503	p[1787].vz: 5.219

p[1788].x: -2.182	p[1788].y: -3.920	p[1788].z: -2.934
p[1788].vx: -31.573	p[1788].vy: -56.098	p[1788].vz: -42.897

p[1789].x: -0.796	p[1789].y: -2.242	p[1789].z: 1.309
p[1789].vx: -11.580	p[1789].vy: -31.749	p[1789].vz: 16.632

p[1790].x: 2.618	p[1790].y: -7.057	p[1790].z: 3.478
p[1790].vx: 37.357	p[1790].vy: -99.079	p[1790].vz: 48.005

p[1791].x: 4.507	p[1791].y: -0.495	p[1791].z: 3.708
p[1791].vx: 66.909	p[1791].vy: -6.142	p[1791].vz: 50.797

p[1792].x: -3.190	p[1792].y: 2.481	p[1792].z: -0.345
p[1792].vx: -48.651	p[1792].vy: 35.013	p[1792].vz: -5.984

p[1793].x: 2.217	p[1793].y: 4.124	p[1793].z: -0.906
p[1793].vx: 37.382	p[1793].vy: 56.757	p[1793].vz: -13.490

p[1794].x: 5.786	p[1794].y: 1.585	p[1794].z: -4.076
p[1794].vx: 74.466	p[1794].vy: 10.735	p[1794].vz: -49.418

p[1795].x: 0.312	p[1795].y: 7.538	p[1795].z: -4.479
p[1795].vx: 4.818	p[1795].vy: 106.298	p[1795].vz: -63.534

p[1796].x: -3.266	p[1796].y: -2.129	p[1796].z: 3.787
p[1796].vx: -46.179	p[1796].vy: -32.255	p[1796].vz: 52.033

p[1797].x: 1.328	p[1797].y: 1.404	p[1797].z: -1.668
p[1797].vx: 31.671	p[1797].vy: 29.095	p[1797].vz: -28.859

p[1798].x: 2.826	p[1798].y: 6.964	p[1798].z: 2.020
p[1798].vx: 40.797	p[1798].vy: 97.946	p[1798].vz: 30.101

p[1799].x: 1.786	p[1799].y: 4.038	p[1799].z: -4.500
p[1799].vx: 25.663	p[1799].vy: 57.999	p[1799].vz: -66.840

p[1800].x: -2.579	p[1800].y: 4.996	p[1800].z: -1.992
p[1800].vx: -39.832	p[1800].vy: 79.566	p[1800].vz: -33.177

p[1801].x: 2.967	p[1801].y: -6.377	p[1801].z: -5.794
p[1801].vx: 42.684	p[1801].vy: -91.619	p[1801].vz: -84.045

p[1802].x: 0.148	p[1802].y: -2.568	p[1802].z: 5.261
p[1802].vx: 1.426	p[1802].vy: -35.694	p[1802].vz: 72.528

p[1803].x: 1.754	p[1803].y: -3.749	p[1803].z: 21.089
p[1803].vx: 11.836	p[1803].vy: -48.628	p[1803].vz: 223.719

p[1804].x: 2.429	p[1804].y: 2.556	p[1804].z: -1.594
p[1804].vx: 40.576	p[1804].vy: 37.144	p[1804].vz: -21.227

p[1805].x: 1.537	p[1805].y: 1.331	p[1805].z: -0.417
p[1805].vx: 26.808	p[1805].vy: 32.712	p[1805].vz: 1.178

p[1806].x: 2.249	p[1806].y: 1.160	p[1806].z: 2.400
p[1806].vx: 34.606	p[1806].vy: 20.592	p[1806].vz: 36.567

p[1807].x: 3.274	p[1807].y: 5.031	p[1807].z: -2.216
p[1807].vx: 45.516	p[1807].vy: 72.028	p[1807].vz: -31.680

p[1808].x: -2.601	p[1808].y: -0.870	p[1808].z: -1.815
p[1808].vx: -37.923	p[1808].vy: -18.612	p[1808].vz: -29.384

p[1809].x: -3.123	p[1809].y: 4.201	p[1809].z: -3.662
p[1809].vx: -41.870	p[1809].vy: 62.445	p[1809].vz: -53.128

p[1810].x: 5.646	p[1810].y: 0.594	p[1810].z: 5.544
p[1810].vx: 79.054	p[1810].vy: 9.081	p[1810].vz: 77.391

p[1811].x: 2.935	p[1811].y: 0.094	p[1811].z: 3.931
p[1811].vx: 41.594	p[1811].vy: 2.356	p[1811].vz: 56.147

p[1812].x: 2.228	p[1812].y: -0.532	p[1812].z: -5.560
p[1812].vx: 31.160	p[1812].vy: -7.261	p[1812].vz: -78.299

p[1813].x: -3.567	p[1813].y: -1.283	p[1813].z: 3.737
p[1813].vx: -50.010	p[1813].vy: -22.570	p[1813].vz: 53.831

p[1814].x: 4.473	p[1814].y: 0.962	p[1814].z: -0.169
p[1814].vx: 61.434	p[1814].vy: 14.136	p[1814].vz: -3.434

p[1815].x: 5.555	p[1815].y: 4.543	p[1815].z: 3.658
p[1815].vx: 78.322	p[1815].vy: 64.614	p[1815].vz: 50.662

p[1816].x: 4.513	p[1816].y: 0.652	p[1816].z: -6.276
p[1816].vx: 64.613	p[1816].vy: 7.512	p[1816].vz: -90.222

p[1817].x: -1.899	p[1817].y: -6.793	p[1817].z: 1.504
p[1817].vx: -26.900	p[1817].vy: -92.713	p[1817].vz: 18.527

p[1818].x: 7.108	p[1818].y: -2.121	p[1818].z: 0.938
p[1818].vx: 100.545	p[1818].vy: -29.959	p[1818].vz: 12.752

p[1819].x: 3.229	p[1819].y: 1.093	p[1819].z: -3.380
p[1819].vx: 46.174	p[1819].vy: 17.331	p[1819].vz: -48.001

p[1820].x: 1.397	p[1820].y: 2.570	p[1820].z: -3.198
p[1820].vx: 19.359	p[1820].vy: 39.252	p[1820].vz: -48.578

p[1821].x: -2.614	p[1821].y: -1.359	p[1821].z: 6.604
p[1821].vx: -36.655	p[1821].vy: -18.323	p[1821].vz: 91.397

p[1822].x: -9.941	p[1822].y: -0.419	p[1822].z: 0.119
p[1822].vx: -140.172	p[1822].vy: -5.958	p[1822].vz: 0.687

p[1823].x: 1.661	p[1823].y: -5.602	p[1823].z: -1.374
p[1823].vx: 21.267	p[1823].vy: -79.211	p[1823].vz: -23.012

p[1824].x: -0.674	p[1824].y: -8.030	p[1824].z: -6.381
p[1824].vx: -7.978	p[1824].vy: -114.383	p[1824].vz: -92.332

p[1825].x: -6.764	p[1825].y: -0.410	p[1825].z: -2.699
p[1825].vx: -95.896	p[1825].vy: -3.395	p[1825].vz: -37.223

p[1826].x: 1.497	p[1826].y: 2.478	p[1826].z: 1.569
p[1826].vx: 22.200	p[1826].vy: 32.114	p[1826].vz: 20.005

p[1827].x: 6.301	p[1827].y: -3.930	p[1827].z: -1.162
p[1827].vx: 88.145	p[1827].vy: -55.751	p[1827].vz: -18.108

p[1828].x: -4.509	p[1828].y: -3.395	p[1828].z: -2.313
p[1828].vx: -65.184	p[1828].vy: -49.736	p[1828].vz: -31.543

p[1829].x: 1.753	p[1829].y: -5.205	p[1829].z: 4.012
p[1829].vx: 26.115	p[1829].vy: -74.959	p[1829].vz: 57.908

p[1830].x: 5.850	p[1830].y: 2.037	p[1830].z: 4.953
p[1830].vx: 82.885	p[1830].vy: 30.311	p[1830].vz: 72.821

p[1831].x: -1.300	p[1831].y: -6.077	p[1831].z: -10.387
p[1831].vx: -13.740	p[1831].vy: -73.759	p[1831].vz: -124.149

p[1832].x: 8.248	p[1832].y: 3.571	p[1832].z: -0.038
p[1832].vx: 115.991	p[1832].vy: 51.672	p[1832].vz: -0.499

p[1833].x: -2.891	p[1833].y: -4.617	p[1833].z: -2.419
p[1833].vx: -40.548	p[1833].vy: -65.129	p[1833].vz: -35.657

p[1834].x: 6.603	p[1834].y: 10.277	p[1834].z: 0.922
p[1834].vx: 94.642	p[1834].vy: 147.088	p[1834].vz: 13.286

p[1835].x: -6.483	p[1835].y: -3.505	p[1835].z: -7.755
p[1835].vx: -91.447	p[1835].vy: -49.326	p[1835].vz: -110.486

p[1836].x: -1.830	p[1836].y: -2.477	p[1836].z: 3.293
p[1836].vx: -32.556	p[1836].vy: -37.704	p[1836].vz: 52.668

p[1837].x: 7.171	p[1837].y: -1.834	p[1837].z: 2.343
p[1837].vx: 101.223	p[1837].vy: -25.051	p[1837].vz: 33.927

p[1838].x: 0.921	p[1838].y: 6.471	p[1838].z: -5.061
p[1838].vx: 13.979	p[1838].vy: 92.950	p[1838].vz: -73.536

p[1839].x: -0.026	p[1839].y: -0.671	p[1839].z: -1.266
p[1839].vx: -0.256	p[1839].vy: -8.168	p[1839].vz: -14.778

p[1840].x: 1.212	p[1840].y: -0.932	p[1840].z: -1.889
p[1840].vx: 16.728	p[1840].vy: -13.162	p[1840].vz: -27.108

p[1841].x: -1.765	p[1841].y: -1.963	p[1841].z: 2.336
p[1841].vx: -34.246	p[1841].vy: -37.179	p[1841].vz: 42.618

p[1842].x: 0.298	p[1842].y: 1.439	p[1842].z: -1.292
p[1842].vx: 20.701	p[1842].vy: 20.693	p[1842].vz: -25.972

p[1843].x: -3.582	p[1843].y: 5.208	p[1843].z: 3.840
p[1843].vx: -50.704	p[1843].vy: 72.833	p[1843].vz: 54.981

p[1844].x: 2.736	p[1844].y: -5.457	p[1844].z: -2.824
p[1844].vx: 38.527	p[1844].vy: -78.653	p[1844].vz: -38.013

p[1845].x: 14.885	p[1845].y: -17.319	p[1845].z: -15.741
p[1845].vx: 180.455	p[1845].vy: -210.047	p[1845].vz: -198.569

p[1846].x: 5.792	p[1846].y: 3.288	p[1846].z: -7.636
p[1846].vx: 83.916	p[1846].vy: 47.009	p[1846].vz: -109.568

p[1847].x: -3.931	p[1847].y: -2.937	p[1847].z: 7.734
p[1847].vx: -55.230	p[1847].vy: -40.067	p[1847].vz: 109.630

p[1848].x: -5.586	p[1848].y: -5.937	p[1848].z: -2.814
p[1848].vx: -78.904	p[1848].vy: -84.780	p[1848].vz: -39.679

p[1849].x: 2.823	p[1849].y: 4.745	p[1849].z: -1.974
p[1849].vx: 40.099	p[1849].vy: 66.510	p[1849].vz: -28.504

p[1850].x: 4.356	p[1850].y: 5.885	p[1850].z: -0.377
p[1850].vx: 63.121	p[1850].vy: 84.437	p[1850].vz: -4.495

p[1851].x: -0.672	p[1851].y: -4.928	p[1851].z: 4.615
p[1851].vx: -3.124	p[1851].vy: -75.638	p[1851].vz: 56.535

p[1852].x: 0.016	p[1852].y: -6.299	p[1852].z: -2.521
p[1852].vx: 1.028	p[1852].vy: -88.272	p[1852].vz: -34.718

p[1853].x: 2.431	p[1853].y: -0.703	p[1853].z: 0.896
p[1853].vx: 36.706	p[1853].vy: -2.468	p[1853].vz: 14.660

p[1854].x: 5.224	p[1854].y: 3.872	p[1854].z: 2.409
p[1854].vx: 73.761	p[1854].vy: 55.807	p[1854].vz: 33.961

p[1855].x: 6.224	p[1855].y: -2.856	p[1855].z: -10.711
p[1855].vx: 89.908	p[1855].vy: -40.083	p[1855].vz: -153.966

p[1856].x: -1.360	p[1856].y: -7.518	p[1856].z: -4.736
p[1856].vx: -19.330	p[1856].vy: -107.261	p[1856].vz: -68.732

p[1857].x: 1.704	p[1857].y: 0.901	p[1857].z: 0.154
p[1857].vx: 30.046	p[1857].vy: -3.855	p[1857].vz: -1.369

p[1858].x: -2.946	p[1858].y: -1.968	p[1858].z: -1.728
p[1858].vx: -39.485	p[1858].vy: -30.243	p[1858].vz: -30.240

p[1859].x: -1.883	p[1859].y: -4.098	p[1859].z: 7.036
p[1859].vx: -27.218	p[1859].vy: -57.610	p[1859].vz: 98.707

p[1860].x: 1.194	p[1860].y: -5.370	p[1860].z: -2.928
p[1860].vx: 20.019	p[1860].vy: -77.848	p[1860].vz: -41.071

p[1861].x: 0.081	p[1861].y: 3.461	p[1861].z: -8.431
p[1861].vx: 1.571	p[1861].vy: 49.500	p[1861].vz: -122.264

p[1862].x: 5.110	p[1862].y: 0.318	p[1862].z: -1.863
p[1862].vx: 73.163	p[1862].vy: 7.689	p[1862].vz: -26.012

p[1863].x: -1.467	p[1863].y: -2.878	p[1863].z: -1.537
p[1863].vx: -25.452	p[1863].vy: -42.639	p[1863].vz: -24.253

p[1864].x: 1.783	p[1864].y: -2.410	p[1864].z: -1.764
p[1864].vx: 27.317	p[1864].vy: -37.118	p[1864].vz: -30.700

p[1865].x: -1.519	p[1865].y: 3.550	p[1865].z: 4.625
p[1865].vx: -21.677	p[1865].vy: 50.300	p[1865].vz: 63.396

p[1866].x: -0.516	p[1866].y: -6.219	p[1866].z: -9.247
p[1866].vx: -7.062	p[1866].vy: -89.212	p[1866].vz: -133.536

p[1867].x: -2.067	p[1867].y: -1.245	p[1867].z: -2.146
p[1867].vx: -19.628	p[1867].vy: -14.929	p[1867].vz: -12.032

p[1868].x: 3.657	p[1868].y: 5.297	p[1868].z: 3.091
p[1868].vx: 49.701	p[1868].vy: 73.684	p[1868].vz: 43.631

p[1869].x: -1.625	p[1869].y: 0.279	p[1869].z: 1.955
p[1869].vx: -20.756	p[1869].vy: 3.809	p[1869].vz: 27.098

p[1870].x: 0.934	p[1870].y: 1.956	p[1870].z: 6.698
p[1870].vx: 13.774	p[1870].vy: 27.139	p[1870].vz: 94.813

p[1871].x: -2.650	p[1871].y: -2.014	p[1871].z: -3.838
p[1871].vx: -36.082	p[1871].vy: -25.772	p[1871].vz: -52.176

p[1872].x: 2.874	p[1872].y: -2.852	p[1872].z: 1.302
p[1872].vx: 42.058	p[1872].vy: -43.190	p[1872].vz: 23.506

p[1873].x: -1.804	p[1873].y: 0.312	p[1873].z: -3.439
p[1873].vx: -23.606	p[1873].vy: 8.945	p[1873].vz: -52.535

p[1874].x: 2.972	p[1874].y: -3.195	p[1874].z: -2.267
p[1874].vx: 42.574	p[1874].vy: -47.446	p[1874].vz: -35.673

p[1875].x: 5.117	p[1875].y: 5.740	p[1875].z: 2.676
p[1875].vx: 71.736	p[1875].vy: 81.987	p[1875].vz: 38.117

p[1876].x: -0.355	p[1876].y: -2.758	p[1876].z: -7.771
p[1876].vx: -5.553	p[1876].vy: -39.171	p[1876].vz: -109.965

p[1877].x: -0.936	p[1877].y: 0.648	p[1877].z: 1.226
p[1877].vx: -6.991	p[1877].vy: -10.338	p[1877].vz: 20.983

p[1878].x: 2.218	p[1878].y: 7.697	p[1878].z: -3.975
p[1878].vx: 32.530	p[1878].vy: 107.989	p[1878].vz: -56.738

p[1879].x: -3.997	p[1879].y: -6.016	p[1879].z: -2.389
p[1879].vx: -55.589	p[1879].vy: -85.784	p[1879].vz: -35.090

p[1880].x: 10.559	p[1880].y: 3.922	p[1880].z: -3.305
p[1880].vx: 152.090	p[1880].vy: 56.400	p[1880].vz: -48.814

p[1881].x: 4.704	p[1881].y: -4.382	p[1881].z: 1.805
p[1881].vx: 65.697	p[1881].vy: -63.139	p[1881].vz: 23.681

p[1882].x: 1.096	p[1882].y: -2.998	p[1882].z: 2.932
p[1882].vx: 17.910	p[1882].vy: -43.878	p[1882].vz: 43.354

p[1883].x: -6.365	p[1883].y: -1.446	p[1883].z: -5.209
p[1883].vx: -90.386	p[1883].vy: -22.165	p[1883].vz: -76.165

p[1884].x: 0.066	p[1884].y: 4.150	p[1884].z: -5.336
p[1884].vx: 0.649	p[1884].vy: 59.820	p[1884].vz: -75.849

p[1885].x: 0.450	p[1885].y: 3.658	p[1885].z: 4.797
p[1885].vx: 8.466	p[1885].vy: 51.840	p[1885].vz: 65.341

p[1886].x: 7.929	p[1886].y: -8.706	p[1886].z: -1.001
p[1886].vx: 114.139	p[1886].vy: -123.820	p[1886].vz: -16.105

p[1887].x: -0.554	p[1887].y: 0.944	p[1887].z: 1.239
p[1887].vx: -15.995	p[1887].vy: 20.817	p[1887].vz: 17.689

p[1888].x: 1.546	p[1888].y: -0.054	p[1888].z: 0.027
p[1888].vx: 13.727	p[1888].vy: -5.917	p[1888].vz: -3.625

p[1889].x: 2.849	p[1889].y: -2.488	p[1889].z: -1.963
p[1889].vx: 44.604	p[1889].vy: -35.926	p[1889].vz: -33.120

p[1890].x: -8.397	p[1890].y: -2.257	p[1890].z: -1.879
p[1890].vx: -119.268	p[1890].vy: -33.179	p[1890].vz: -27.961

p[1891].x: 1.615	p[1891].y: 5.861	p[1891].z: 5.027
p[1891].vx: 24.420	p[1891].vy: 85.471	p[1891].vz: 73.726

p[1892].x: -4.945	p[1892].y: 3.551	p[1892].z: 4.619
p[1892].vx: -71.782	p[1892].vy: 52.622	p[1892].vz: 66.121

p[1893].x: 5.215	p[1893].y: 3.747	p[1893].z: 1.951
p[1893].vx: 79.572	p[1893].vy: 57.199	p[1893].vz: 31.439

p[1894].x: 6.068	p[1894].y: 4.167	p[1894].z: 1.531
p[1894].vx: 85.153	p[1894].vy: 59.033	p[1894].vz: 20.585

p[1895].x: -2.309	p[1895].y: -2.519	p[1895].z: 1.777
p[1895].vx: -33.219	p[1895].vy: -42.805	p[1895].vz: 28.469

p[1896].x: -6.761	p[1896].y: -0.224	p[1896].z: 5.422
p[1896].vx: -95.828	p[1896].vy: -1.447	p[1896].vz: 78.415

p[1897].x: -6.886	p[1897].y: 1.638	p[1897].z: -6.067
p[1897].vx: -97.998	p[1897].vy: 23.114	p[1897].vz: -87.024

p[1898].x: 4.266	p[1898].y: -5.735	p[1898].z: -3.889
p[1898].vx: 59.227	p[1898].vy: -78.825	p[1898].vz: -54.074

p[1899].x: 24.569	p[1899].y: -22.764	p[1899].z: 9.679
p[1899].vx: 350.660	p[1899].vy: -324.722	p[1899].vz: 138.811

p[1900].x: -6.053	p[1900].y: -0.835	p[1900].z: -2.164
p[1900].vx: -85.786	p[1900].vy: -12.791	p[1900].vz: -30.930

p[1901].x: -4.429	p[1901].y: 3.058	p[1901].z: 0.232
p[1901].vx: -65.555	p[1901].vy: 43.060	p[1901].vz: 2.745

p[1902].x: -0.909	p[1902].y: 0.932	p[1902].z: 0.067
p[1902].vx: -14.469	p[1902].vy: 16.227	p[1902].vz: -1.221

p[1903].x: -0.882	p[1903].y: 1.932	p[1903].z: -0.046
p[1903].vx: -16.859	p[1903].vy: 16.591	p[1903].vz: 0.973

p[1904].x: 3.566	p[1904].y: 5.509	p[1904].z: 3.185
p[1904].vx: 49.894	p[1904].vy: 75.917	p[1904].vz: 43.889

p[1905].x: 2.616	p[1905].y: 2.190	p[1905].z: -1.320
p[1905].vx: 27.768	p[1905].vy: 11.121	p[1905].vz: -10.390

p[1906].x: 7.432	p[1906].y: -0.250	p[1906].z: 2.768
p[1906].vx: 104.254	p[1906].vy: -4.675	p[1906].vz: 37.961

p[1907].x: 3.898	p[1907].y: 2.350	p[1907].z: 3.004
p[1907].vx: 31.143	p[1907].vy: 31.552	p[1907].vz: 36.338

p[1908].x: -5.387	p[1908].y: 1.215	p[1908].z: -3.708
p[1908].vx: -74.820	p[1908].vy: 17.106	p[1908].vz: -53.134

p[1909].x: -2.632	p[1909].y: 0.234	p[1909].z: -0.641
p[1909].vx: -41.238	p[1909].vy: -1.272	p[1909].vz: -8.557

p[1910].x: -5.804	p[1910].y: 4.984	p[1910].z: -3.336
p[1910].vx: -81.572	p[1910].vy: 70.332	p[1910].vz: -47.713

p[1911].x: -4.881	p[1911].y: 4.114	p[1911].z: -1.000
p[1911].vx: -67.775	p[1911].vy: 58.387	p[1911].vz: -14.737

p[1912].x: -0.614	p[1912].y: -1.583	p[1912].z: 0.575
p[1912].vx: 3.261	p[1912].vy: -20.513	p[1912].vz: 4.881

p[1913].x: -2.072	p[1913].y: 1.964	p[1913].z: 1.931
p[1913].vx: -29.643	p[1913].vy: 32.377	p[1913].vz: 33.240

p[1914].x: 4.659	p[1914].y: -4.822	p[1914].z: -0.923
p[1914].vx: 65.454	p[1914].vy: -68.495	p[1914].vz: -14.658

p[1915].x: -2.154	p[1915].y: 1.730	p[1915].z: 1.183
p[1915].vx: -28.247	p[1915].vy: 23.215	p[1915].vz: 16.607

p[1916].x: -1.730	p[1916].y: 4.566	p[1916].z: 4.870
p[1916].vx: -24.170	p[1916].vy: 65.325	p[1916].vz: 67.371

p[1917].x: 4.294	p[1917].y: 3.254	p[1917].z: -3.891
p[1917].vx: 63.376	p[1917].vy: 49.061	p[1917].vz: -50.731

p[1918].x: -6.988	p[1918].y: 2.673	p[1918].z: 0.230
p[1918].vx: -99.808	p[1918].vy: 39.608	p[1918].vz: 3.709

p[1919].x: -2.365	p[1919].y: -1.945	p[1919].z: -2.128
p[1919].vx: -37.708	p[1919].vy: -31.331	p[1919].vz: -35.630

p[1920].x: -2.657	p[1920].y: 2.040	p[1920].z: 2.173
p[1920].vx: -40.243	p[1920].vy: 30.785	p[1920].vz: 29.324

p[1921].x: -2.653	p[1921].y: -2.413	p[1921].z: -1.861
p[1921].vx: -41.365	p[1921].vy: -36.868	p[1921].vz: -31.248

p[1922].x: 4.780	p[1922].y: -0.178	p[1922].z: -0.394
p[1922].vx: 65.282	p[1922].vy: -1.334	p[1922].vz: -3.798

p[1923].x: 3.409	p[1923].y: 2.491	p[1923].z: 2.305
p[1923].vx: 38.222	p[1923].vy: 40.039	p[1923].vz: 20.621

p[1924].x: 6.263	p[1924].y: 5.270	p[1924].z: 3.919
p[1924].vx: 94.352	p[1924].vy: 78.762	p[1924].vz: 53.838

p[1925].x: -4.653	p[1925].y: -2.000	p[1925].z: 3.788
p[1925].vx: -64.574	p[1925].vy: -28.322	p[1925].vz: 53.690

p[1926].x: -5.324	p[1926].y: -9.198	p[1926].z: -1.524
p[1926].vx: -76.339	p[1926].vy: -130.865	p[1926].vz: -23.507

p[1927].x: -1.440	p[1927].y: 2.250	p[1927].z: 3.301
p[1927].vx: -11.742	p[1927].vy: 37.972	p[1927].vz: 44.058

p[1928].x: -4.233	p[1928].y: -0.756	p[1928].z: 3.745
p[1928].vx: -58.777	p[1928].vy: -13.286	p[1928].vz: 54.887

p[1929].x: 7.019	p[1929].y: -1.854	p[1929].z: 6.297
p[1929].vx: 100.446	p[1929].vy: -25.584	p[1929].vz: 89.941

p[1930].x: 5.616	p[1930].y: 6.171	p[1930].z: -2.428
p[1930].vx: 79.522	p[1930].vy: 87.554	p[1930].vz: -36.534

p[1931].x: -0.144	p[1931].y: -3.740	p[1931].z: -6.428
p[1931].vx: -1.556	p[1931].vy: -53.615	p[1931].vz: -91.611

p[1932].x: -1.761	p[1932].y: 1.891	p[1932].z: 2.424
p[1932].vx: -32.336	p[1932].vy: 35.956	p[1932].vz: 42.139

p[1933].x: -3.106	p[1933].y: -1.144	p[1933].z: 3.404
p[1933].vx: -47.628	p[1933].vy: -22.159	p[1933].vz: 50.779

p[1934].x: -2.347	p[1934].y: 2.313	p[1934].z: -0.460
p[1934].vx: -35.621	p[1934].vy: 36.135	p[1934].vz: -12.255

p[1935].x: -1.927	p[1935].y: -1.152	p[1935].z: -6.034
p[1935].vx: -27.503	p[1935].vy: -17.030	p[1935].vz: -85.824

p[1936].x: 1.594	p[1936].y: 0.082	p[1936].z: 1.883
p[1936].vx: 18.616	p[1936].vy: -3.338	p[1936].vz: 34.511

p[1937].x: 6.274	p[1937].y: 4.802	p[1937].z: -5.109
p[1937].vx: 89.864	p[1937].vy: 68.351	p[1937].vz: -73.351

p[1938].x: -7.371	p[1938].y: 5.416	p[1938].z: 6.299
p[1938].vx: -105.760	p[1938].vy: 78.719	p[1938].vz: 90.995

p[1939].x: 3.343	p[1939].y: 2.815	p[1939].z: 2.782
p[1939].vx: 47.991	p[1939].vy: 42.294	p[1939].vz: 39.971

p[1940].x: -2.578	p[1940].y: -2.093	p[1940].z: 1.832
p[1940].vx: -38.652	p[1940].vy: -29.743	p[1940].vz: 30.582

p[1941].x: 3.272	p[1941].y: -1.757	p[1941].z: 4.648
p[1941].vx: 46.870	p[1941].vy: -26.642	p[1941].vz: 67.045

p[1942].x: -8.644	p[1942].y: 24.921	p[1942].z: 16.661
p[1942].vx: -90.451	p[1942].vy: 272.457	p[1942].vz: 192.807

p[1943].x: -2.299	p[1943].y: -2.860	p[1943].z: -6.038
p[1943].vx: -32.630	p[1943].vy: -39.644	p[1943].vz: -85.425

p[1944].x: -0.757	p[1944].y: -4.636	p[1944].z: -4.090
p[1944].vx: -12.320	p[1944].vy: -68.377	p[1944].vz: -59.714

p[1945].x: -1.742	p[1945].y: -2.118	p[1945].z: 2.426
p[1945].vx: -24.363	p[1945].vy: -29.921	p[1945].vz: 29.580

p[1946].x: -0.047	p[1946].y: -1.601	p[1946].z: 2.227
p[1946].vx: -12.702	p[1946].vy: -9.151	p[1946].vz: 33.254

p[1947].x: 5.748	p[1947].y: -5.223	p[1947].z: 3.636
p[1947].vx: 81.152	p[1947].vy: -73.783	p[1947].vz: 50.253

p[1948].x: -5.967	p[1948].y: 0.527	p[1948].z: -1.087
p[1948].vx: -65.351	p[1948].vy: 13.617	p[1948].vz: -2.979

p[1949].x: 3.723	p[1949].y: 7.185	p[1949].z: 9.063
